value,unit,fraction_type,component_inchi_0,component_inchi_1,component_inchi_2,component_inchi_3,fraction_0,fraction_1,fraction_2,fraction_3,temperature,temperature_unit,surface_area_fraction_0,surface_area_fraction_1,surface_area_fraction_2,surface_area_fraction_3
0.6824862215634352,ln(mPa*s),molar,"InChI=1S/C10H12/c1-2-6-10-8-4-3-7-9(10)5-1/h1-2,5-6H,3-4,7-8H2","InChI=1S/C12H22/c1-3-7-11(8-4-1)12-9-5-2-6-10-12/h11-12H,1-10H2",,,0.6,0.4,,,308.15,K,0.5205161184739432,0.4794838815260568,,
0.6355134856663567,ln(mPa*s),molar,"InChI=1S/C10H12/c1-2-6-10-8-4-3-7-9(10)5-1/h1-2,5-6H,3-4,7-8H2","InChI=1S/C12H22/c1-3-7-11(8-4-1)12-9-5-2-6-10-12/h11-12H,1-10H2",,,0.7,0.3,,,308.15,K,0.6280693851355407,0.37193061486445933,,
0.5917643688994698,ln(mPa*s),molar,"InChI=1S/C10H12/c1-2-6-10-8-4-3-7-9(10)5-1/h1-2,5-6H,3-4,7-8H2","InChI=1S/C12H22/c1-3-7-11(8-4-1)12-9-5-2-6-10-12/h11-12H,1-10H2",,,0.8,0.2,,,308.15,K,0.7432519495503142,0.2567480504496858,,
0.5581466265417567,ln(mPa*s),molar,"InChI=1S/C10H12/c1-2-6-10-8-4-3-7-9(10)5-1/h1-2,5-6H,3-4,7-8H2","InChI=1S/C12H22/c1-3-7-11(8-4-1)12-9-5-2-6-10-12/h11-12H,1-10H2",,,0.9,0.1,,,308.15,K,0.8669054392449662,0.1330945607550338,,
-0.03592032745070711,ln(mPa*s),molar,"InChI=1S/C10H12/c1-2-6-10-8-4-3-7-9(10)5-1/h1-2,5-6H,3-4,7-8H2","InChI=1S/C12H26/c1-3-5-7-9-11-12-10-8-6-4-2/h3-12H2,1-2H3",,,0.4,0.6,,,323.15,K,0.29092691415226946,0.7090730858477304,,
-0.005986721241784519,ln(mPa*s),molar,"InChI=1S/C10H12/c1-2-6-10-8-4-3-7-9(10)5-1/h1-2,5-6H,3-4,7-8H2","InChI=1S/C12H26/c1-3-5-7-9-11-12-10-8-6-4-2/h3-12H2,1-2H3",,,0.5,0.5,,,323.15,K,0.380972756950551,0.619027243049449,,
0.3785449892882211,ln(mPa*s),molar,"InChI=1S/C10H12/c1-2-6-10-8-4-3-7-9(10)5-1/h1-2,5-6H,3-4,7-8H2","InChI=1S/C12H26/c1-3-5-7-9-11-12-10-8-6-4-2/h3-12H2,1-2H3",,,0.6,0.4,,,298.15,K,0.48002156577190497,0.519978434228095,,
0.024177143476437485,ln(mPa*s),molar,"InChI=1S/C10H12/c1-2-6-10-8-4-3-7-9(10)5-1/h1-2,5-6H,3-4,7-8H2","InChI=1S/C12H26/c1-3-5-7-9-11-12-10-8-6-4-2/h3-12H2,1-2H3",,,0.6,0.4,,,323.15,K,0.48002156577190497,0.519978434228095,,
0.05411074968536008,ln(mPa*s),molar,"InChI=1S/C10H12/c1-2-6-10-8-4-3-7-9(10)5-1/h1-2,5-6H,3-4,7-8H2","InChI=1S/C12H26/c1-3-5-7-9-11-12-10-8-6-4-2/h3-12H2,1-2H3",,,0.7,0.3,,,323.15,K,0.5894945926558814,0.41050540734411856,,
0.5528506808278705,ln(mPa*s),molar,"InChI=1S/C10H12/c1-2-6-10-8-4-3-7-9(10)5-1/h1-2,5-6H,3-4,7-8H2","InChI=1S/C4H8O/c5-3-4-1-2-4/h4-5H,1-3H2",,,0.1,0.9,,,320.65,K,0.15020354252922122,0.8497964574707788,,
0.46811554940568956,ln(mPa*s),molar,"InChI=1S/C10H12/c1-2-6-10-8-4-3-7-9(10)5-1/h1-2,5-6H,3-4,7-8H2","InChI=1S/C4H8O/c5-3-4-1-2-4/h4-5H,1-3H2",,,0.2,0.8,,,320.65,K,0.28453522266707787,0.7154647773329221,,
0.40456420083905387,ln(mPa*s),molar,"InChI=1S/C10H12/c1-2-6-10-8-4-3-7-9(10)5-1/h1-2,5-6H,3-4,7-8H2","InChI=1S/C4H8O/c5-3-4-1-2-4/h4-5H,1-3H2",,,0.3,0.7,,,320.65,K,0.4053845388402118,0.5946154611597881,,
0.3509139681722926,ln(mPa*s),molar,"InChI=1S/C10H12/c1-2-6-10-8-4-3-7-9(10)5-1/h1-2,5-6H,3-4,7-8H2","InChI=1S/C4H8O/c5-3-4-1-2-4/h4-5H,1-3H2",,,0.4,0.6,,,320.65,K,0.5146842597116954,0.48531574028830465,,
0.312460797119292,ln(mPa*s),molar,"InChI=1S/C10H12/c1-2-6-10-8-4-3-7-9(10)5-1/h1-2,5-6H,3-4,7-8H2","InChI=1S/C4H8O/c5-3-4-1-2-4/h4-5H,1-3H2",,,0.5,0.5,,,320.65,K,0.614014571877946,0.38598542812205405,,
0.28413900047546525,ln(mPa*s),molar,"InChI=1S/C10H12/c1-2-6-10-8-4-3-7-9(10)5-1/h1-2,5-6H,3-4,7-8H2","InChI=1S/C4H8O/c5-3-4-1-2-4/h4-5H,1-3H2",,,0.6,0.4,,,320.65,K,0.7046799721206171,0.29532002787938294,,
0.26940245588030337,ln(mPa*s),molar,"InChI=1S/C10H12/c1-2-6-10-8-4-3-7-9(10)5-1/h1-2,5-6H,3-4,7-8H2","InChI=1S/C4H8O/c5-3-4-1-2-4/h4-5H,1-3H2",,,0.7,0.3,,,320.65,K,0.7877668779645233,0.21223312203547665,,
0.2574290133967343,ln(mPa*s),molar,"InChI=1S/C10H12/c1-2-6-10-8-4-3-7-9(10)5-1/h1-2,5-6H,3-4,7-8H2","InChI=1S/C4H8O/c5-3-4-1-2-4/h4-5H,1-3H2",,,0.8,0.2,,,320.65,K,0.8641873712220606,0.13581262877793943,,
0.27354710904769264,ln(mPa*s),molar,"InChI=1S/C10H12/c1-2-6-10-8-4-3-7-9(10)5-1/h1-2,5-6H,3-4,7-8H2","InChI=1S/C4H8O/c5-3-4-1-2-4/h4-5H,1-3H2",,,0.9,0.1,,,320.65,K,0.9347128184595184,0.06528718154048162,,
-0.9191919691232231,ln(mPa*s),molar,"InChI=1S/C10H12/c1-2-6-10-8-4-3-7-9(10)5-1/h1-2,5-6H,3-4,7-8H2","InChI=1S/C5H12O/c1-5(2,3)6-4/h1-4H3",,,0.1,0.9,,,303.15,K,0.11941942189611827,0.8805805781038818,,
-0.6055798794574341,ln(mPa*s),molar,"InChI=1S/C10H12/c1-2-6-10-8-4-3-7-9(10)5-1/h1-2,5-6H,3-4,7-8H2","InChI=1S/C5H12O/c1-5(2,3)6-4/h1-4H3",,,0.2,0.8,,,303.15,K,0.23379423394136198,0.766205766058638,,
-0.43127418791778477,ln(mPa*s),molar,"InChI=1S/C10H12/c1-2-6-10-8-4-3-7-9(10)5-1/h1-2,5-6H,3-4,7-8H2","InChI=1S/C5H12O/c1-5(2,3)6-4/h1-4H3",,,0.3,0.7,,,303.15,K,0.34343747199159674,0.6565625280084033,,
-0.2620341835827224,ln(mPa*s),molar,"InChI=1S/C10H12/c1-2-6-10-8-4-3-7-9(10)5-1/h1-2,5-6H,3-4,7-8H2","InChI=1S/C5H12O/c1-5(2,3)6-4/h1-4H3",,,0.4,0.6,,,303.15,K,0.4486367968004998,0.5513632031995002,,
-0.09947167601734279,ln(mPa*s),molar,"InChI=1S/C10H12/c1-2-6-10-8-4-3-7-9(10)5-1/h1-2,5-6H,3-4,7-8H2","InChI=1S/C5H12O/c1-5(2,3)6-4/h1-4H3",,,0.5,0.5,,,303.15,K,0.5496570141231754,0.4503429858768246,,
0.05272919862956365,ln(mPa*s),molar,"InChI=1S/C10H12/c1-2-6-10-8-4-3-7-9(10)5-1/h1-2,5-6H,3-4,7-8H2","InChI=1S/C5H12O/c1-5(2,3)6-4/h1-4H3",,,0.6,0.4,,,303.15,K,0.6467423003311705,0.35325769966882953,,
