value,unit,component_inchi_0
58.6,-,"InChI=1S/C19H36O2/c1-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19(20)21-2/h13-14H,3-12,15-18H2,1-2H3/b14-13-"
53.9,-,"InChI=1S/C19H36O2/c1-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19(20)21-2/h8-9H,3-7,10-18H2,1-2H3"
37.4,-,"InChI=1S/C19H36O3/c1-3-4-5-12-15-18(20)16-13-10-8-6-7-9-11-14-17-19(21)22-2/h10,13,18,20H,3-9,11-12,14-17H2,1-2H3/b13-10-/t18-/m1/s1"
95.6,-,"InChI=1S/C19H38O2/c1-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19(20)21-2/h3-18H2,1-2H3"
104.4,-,"InChI=1S/C19H40/c1-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19(2)3/h19H,4-18H2,1-3H3"
73.2,-,"InChI=1S/C21H40O2/c1-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-21(22)23-2/h10-11H,3-9,12-20H2,1-2H3"
74.2,-,"InChI=1S/C23H44O2/c1-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-21-22-23(24)25-2/h10-11H,3-9,12-22H2,1-2H3/b11-10-"
57.5,-,InChI=1S/C2H6O/c1-3-2/h1-2H3
19.5,-,InChI=1S/C3H6O2/c1-3(4)5-2/h1-2H3
15.5,-,"InChI=1S/C3H8O2/c1-5-3-2-4/h4H,2-3H2,1H3"
20.6,-,"InChI=1S/C4H10/c1-3-4-2/h3-4H2,1-2H3"
12.0,-,"InChI=1S/C4H10O/c1-2-3-4-5/h5H,2-4H2,1H3"
8.5,-,"InChI=1S/C4H10O/c1-3-4(2)5/h4-5H,3H2,1-2H3"
8.5,-,"InChI=1S/C4H10O/c1-4(2)3-5/h4-5H,3H2,1-2H3"
16.3,-,"InChI=1S/C4H10O2/c1-4(5)3-6-2/h4-5H,3H2,1-2H3"
7.0,-,InChI=1S/C4H4O/c1-2-4-5-3-1/h1-4H
