value,unit,fraction_type,component_inchi_0,component_inchi_1,component_inchi_2,component_inchi_3,fraction_0,fraction_1,fraction_2,fraction_3
2.5,Celcius,molar,"InChI=1S/C10H22/c1-3-5-7-9-10-8-6-4-2/h3-10H2,1-2H3",InChI=1S/C3H6O/c1-3(2)4/h1-2H3,"InChI=1S/CH4O/c1-2/h2H,1H3",,0.56,0.04,0.4,
-8.8,Celcius,molar,"InChI=1S/C10H22/c1-3-5-7-9-10-8-6-4-2/h3-10H2,1-2H3",InChI=1S/C3H6O/c1-3(2)4/h1-2H3,"InChI=1S/CH4O/c1-2/h2H,1H3",,0.6,0.17,0.23,
-13.5,Celcius,molar,"InChI=1S/C10H22/c1-3-5-7-9-10-8-6-4-2/h3-10H2,1-2H3",InChI=1S/C3H6O/c1-3(2)4/h1-2H3,"InChI=1S/CH4O/c1-2/h2H,1H3",,0.6,0.25,0.15,
-13.2,Celcius,molar,"InChI=1S/C10H22/c1-3-5-7-9-10-8-6-4-2/h3-10H2,1-2H3",InChI=1S/C3H6O/c1-3(2)4/h1-2H3,"InChI=1S/CH4O/c1-2/h2H,1H3",,0.6,0.26,0.14,
-15.2,Celcius,molar,"InChI=1S/C10H22/c1-3-5-7-9-10-8-6-4-2/h3-10H2,1-2H3",InChI=1S/C3H6O/c1-3(2)4/h1-2H3,"InChI=1S/CH4O/c1-2/h2H,1H3",,0.6,0.33,0.07,
-3.5,Celcius,molar,"InChI=1S/C10H22/c1-3-5-7-9-10-8-6-4-2/h3-10H2,1-2H3",InChI=1S/C3H6O/c1-3(2)4/h1-2H3,"InChI=1S/CH4O/c1-2/h2H,1H3",,0.61,0.09,0.3,
-1.0,Celcius,molar,"InChI=1S/C10H22/c1-3-5-7-9-10-8-6-4-2/h3-10H2,1-2H3",InChI=1S/C3H6O/c1-3(2)4/h1-2H3,"InChI=1S/CH4O/c1-2/h2H,1H3",,0.62,0.08,0.3,
-10.4,Celcius,molar,"InChI=1S/C10H22/c1-3-5-7-9-10-8-6-4-2/h3-10H2,1-2H3",InChI=1S/C3H6O/c1-3(2)4/h1-2H3,"InChI=1S/CH4O/c1-2/h2H,1H3",,0.62,0.18,0.2,
1.7,Celcius,molar,"InChI=1S/C10H22/c1-3-5-7-9-10-8-6-4-2/h3-10H2,1-2H3",InChI=1S/C3H6O/c1-3(2)4/h1-2H3,"InChI=1S/CH4O/c1-2/h2H,1H3",,0.66,0.04,0.3,
-7.3,Celcius,molar,"InChI=1S/C10H22/c1-3-5-7-9-10-8-6-4-2/h3-10H2,1-2H3",InChI=1S/C3H6O/c1-3(2)4/h1-2H3,"InChI=1S/CH4O/c1-2/h2H,1H3",,0.7,0.13,0.17,
-12.5,Celcius,molar,"InChI=1S/C10H22/c1-3-5-7-9-10-8-6-4-2/h3-10H2,1-2H3",InChI=1S/C3H6O/c1-3(2)4/h1-2H3,"InChI=1S/CH4O/c1-2/h2H,1H3",,0.7,0.2,0.1,
-3.8,Celcius,molar,"InChI=1S/C10H22/c1-3-5-7-9-10-8-6-4-2/h3-10H2,1-2H3",InChI=1S/C3H6O/c1-3(2)4/h1-2H3,"InChI=1S/CH4O/c1-2/h2H,1H3",,0.72,0.08,0.2,
-12.5,Celcius,molar,"InChI=1S/C10H22/c1-3-5-7-9-10-8-6-4-2/h3-10H2,1-2H3",InChI=1S/C3H6O/c1-3(2)4/h1-2H3,"InChI=1S/CH4O/c1-2/h2H,1H3",,0.72,0.18,0.1,
0.2,Celcius,molar,"InChI=1S/C10H22/c1-3-5-7-9-10-8-6-4-2/h3-10H2,1-2H3",InChI=1S/C3H6O/c1-3(2)4/h1-2H3,"InChI=1S/CH4O/c1-2/h2H,1H3",,0.75,0.05,0.2,
2.0,Celcius,molar,"InChI=1S/C10H22/c1-3-5-7-9-10-8-6-4-2/h3-10H2,1-2H3",InChI=1S/C3H6O/c1-3(2)4/h1-2H3,"InChI=1S/CH4O/c1-2/h2H,1H3",,0.77,0.03,0.2,
4.5,Celcius,molar,"InChI=1S/C10H22/c1-3-5-7-9-10-8-6-4-2/h3-10H2,1-2H3",InChI=1S/C3H6O/c1-3(2)4/h1-2H3,"InChI=1S/CH4O/c1-2/h2H,1H3",,0.8,0.02,0.18,
